date,company_code,is_copied,language,last_published,changes_24h,changes_7d,added_24h,removed_24h,added_7d,removed_7d,contributors_7d,contributors_all_time,changes_1y,added_1y,removed_1y,stars,copy,watchers,market_cap_rank,price_share_usd,market_cap_usd
1/21/2018,BBN,TRUE,C,2d,0,0,0,0,0,0,0,0,35,0,0,21,13,4,27,16.2489,1608868585
1/21/2018,CBT,FALSE,Python,1h,0,3,0,0,3,3,2,100,258,56842,18695,1875,1075,458,1,12899.2,2.17E+11
1/21/2018,HBC,FALSE,Unknown,18h,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2032.12,34388779314
1/21/2018,GBT,FALSE,Unknown,15d,0,0,0,0,0,0,0,1,7,0,0,2,1,1,16,231.125,3877413344
1/21/2018,AAD,FALSE,JavaScript,21d,0,0,0,0,0,0,0,2,7,0,0,1,1,14,5,0.70751,18343661676
1/21/2018,HDA,TRUE,C,55d,0,0,0,0,0,0,0,1,0,0,0,1,0,2,12,928.134,7267447336
1/21/2018,SEO,TRUE,C++,21d,0,2,0,0,10,0,1,6,32,0,0,19,17,20,9,15.6612,9666492680
1/21/2018,HET,FALSE,Unknown,18h,0,0,0,0,0,0,0,14,0,0,0,41,29,25,2,1155.68,1.12E+11
1/21/2018,CET,FALSE,Go,7d,0,0,0,0,0,0,0,0,5,0,0,0,0,6,18,35.494,3523312620
1/21/2018,XIC,FALSE,Python,192d,0,0,0,0,0,0,0,2,22,381,99,0,15,3,15,10.3311,3926282941
1/21/2018,AMI,FALSE,Java,9d,0,0,0,0,0,0,0,11,108,23070,6447,73,48,18,11,3.00725,8358742444
1/21/2018,KLS,FALSE,JavaScript,191d,0,0,0,0,0,0,0,0,0,0,0,1,7,3,19,25.4259,2980192419
1/21/2018,CLT,TRUE,Java,69d,0,0,0,0,0,0,0,0,0,542195,380303,4,3,14,6,211.235,11585686980
1/21/2018,RXM,FALSE,Unknown,20h,0,0,0,0,0,0,0,16,177,0,0,18,20,9,13,384.532,6008720392
1/21/2018,MXE,TRUE,Shell,115d,0,0,0,0,0,0,0,100,0,0,0,1,0,12,7,1.22437,11019329999
1/21/2018,ONE,FALSE,CSS,4d,4,7,9709,181,9811,241,5,67,251,0,0,121,162,33,8,150.228,9764820000
1/21/2018,GOM,TRUE,Ruby,59d,0,0,0,0,0,0,0,100,8,0,0,3,0,23,22,19.7353,2013840372
1/21/2018,TPP,FALSE,Unknown,21d,0,0,0,0,0,0,0,1,3,0,0,1,0,9,23,49.798,1842726531
1/21/2018,MQT,TRUE,C,21d,0,0,0,0,0,0,0,1,8,24853,9007,1,0,2,17,51.7112,3817440340
1/21/2018,BXR,FALSE,C++,2s,2,6,409,4,2484,16,6,24,805,545436,367929,1439,253,214,20,19.6623,2619967837
